,id,labels_old,labels
0,1,"[1.44524028e-13 6.02861511e-13 3.08966340e-13 ... 7.74562445e-12
 4.58124614e-14 1.09697767e-13]",0
1,2,"[1.3854974e-19 6.1681223e-20 7.4884105e-20 ... 1.4182561e-19 3.2698586e-13
 1.4611185e-18]",0
2,3,"[5.4714432e-16 2.9242643e-13 7.9283363e-13 ... 4.4042863e-15 3.2817827e-19
 3.4241265e-15]",0
3,4,"[6.8881123e-17 1.9696220e-14 5.0255691e-14 ... 3.0055785e-14 3.4471745e-18
 1.5781776e-14]",0
4,5,"[2.70014766e-07 2.26407064e-06 2.34012830e-07 ... 6.74066536e-09
 1.05263107e-05 1.04635454e-07]",0
5,6,"[3.9770691e-14 5.1001536e-11 2.9352982e-11 ... 3.1257516e-12 1.0889606e-16
 2.7040330e-13]",0
6,7,"[1.1299985e-13 2.9201023e-12 5.4869081e-13 ... 3.0918552e-14 1.4943830e-13
 2.6463195e-14]",0
7,8,"[4.6865126e-15 8.8455286e-15 3.4002526e-15 ... 3.3933704e-16 3.2554023e-16
 2.7529363e-15]",0
8,9,"[1.1958816e-12 3.3052196e-11 2.9863800e-12 ... 2.9910786e-11 4.6309033e-16
 1.3856913e-09]",0
9,10,"[2.4017240e-14 3.5511153e-11 7.3888665e-13 ... 2.8334593e-11 8.8504025e-13
 8.9441106e-13]",0
10,11,"[3.3621626e-17 6.9887579e-20 9.5113123e-18 ... 3.1270837e-18 4.9279000e-16
 8.0066742e-17]",0
11,12,"[3.1038660e-15 1.2272007e-13 1.2505299e-16 ... 5.2242404e-14 9.1538946e-16
 7.2235351e-15]",0
12,13,"[3.4958058e-15 8.8512402e-14 1.0266880e-12 ... 1.8110467e-10 1.2533828e-13
 3.9176456e-13]",0
13,14,"[3.4427802e-13 3.7491846e-12 1.3783741e-13 ... 2.2749500e-12 6.6841105e-10
 6.4757058e-14]",0
14,15,"[1.0873007e-15 1.3700915e-13 7.2655728e-14 ... 1.2406996e-15 1.7753276e-17
 2.5776216e-11]",0
15,16,"[1.05585198e-15 3.29214310e-17 5.98490361e-18 ... 1.00643206e-17
 1.09737382e-12 5.18186212e-15]",0
16,17,"[1.0581427e-14 3.3177551e-13 6.5245330e-13 ... 1.1308744e-12 2.1013589e-15
 5.2245415e-13]",0
17,18,"[9.3957745e-17 4.1889125e-16 4.0233526e-17 ... 2.0030044e-16 2.8028019e-17
 1.2977240e-16]",0
18,19,"[1.7783863e-15 3.1577656e-14 5.1457548e-15 ... 1.6310102e-17 5.0624283e-13
 5.7525175e-15]",0
19,20,"[8.68285383e-07 9.00864791e-07 1.01088396e-07 ... 1.79271331e-06
 1.02280246e-08 2.69706646e-07]",0
20,21,"[1.06079399e-14 3.92102292e-14 1.08521095e-10 ... 9.56395206e-12
 3.51522114e-16 2.59693975e-16]",0
21,22,"[1.6130596e-14 4.9729250e-14 5.5761034e-12 ... 7.0395040e-12 8.0008287e-13
 2.5844533e-12]",0
22,23,"[2.3714442e-14 3.0233721e-15 1.9673254e-13 ... 1.5004607e-13 1.0342180e-15
 1.8287646e-13]",0
23,24,"[7.9328659e-15 6.6264097e-16 1.5563349e-14 ... 7.5320584e-16 9.9044712e-18
 2.6970662e-15]",0
24,25,"[3.8724300e-14 8.3132584e-14 1.1140066e-12 ... 4.6738871e-13 2.9286077e-16
 3.2432179e-13]",0
25,26,"[8.1772588e-14 6.3354080e-13 5.0635748e-14 ... 4.1523686e-12 1.5745565e-19
 8.1459466e-12]",0
26,27,"[5.1791972e-14 1.4099593e-12 1.2014653e-12 ... 6.5006763e-15 3.9199680e-18
 2.9483184e-13]",0
27,28,"[2.1718470e-14 2.0995391e-12 1.0618416e-12 ... 8.1874964e-14 8.0714458e-16
 3.2073757e-11]",0
28,29,"[8.59174688e-16 1.02223636e-13 6.86079058e-16 ... 1.29732307e-16
 4.96659293e-14 6.73242631e-17]",0
29,30,"[1.27010735e-14 2.39249640e-14 6.38303646e-13 ... 4.48736880e-14
 1.08506890e-19 6.80825743e-11]",0
30,31,"[8.4208483e-15 1.7830064e-14 3.0792564e-13 ... 6.5302066e-14 6.9345510e-14
 6.9264344e-14]",0
31,32,"[1.0814687e-14 3.1119803e-12 8.2241165e-15 ... 5.5982927e-15 1.0004884e-15
 2.8397151e-10]",0
32,33,"[2.2240196e-09 2.7659584e-09 3.2948048e-08 ... 6.1519662e-10 6.4847176e-11
 1.8436365e-09]",0
33,34,"[5.3108004e-15 2.8839285e-17 4.1947652e-16 ... 3.1678487e-16 4.1780150e-15
 1.0227415e-13]",0
34,35,"[1.1379622e-13 4.2855872e-11 2.3284136e-13 ... 1.4408511e-12 3.3781720e-15
 7.6035776e-13]",0
35,36,"[6.0949509e-15 3.9823087e-13 2.8126506e-13 ... 1.5150019e-15 6.2550445e-17
 1.1716568e-11]",0
36,37,"[1.6332345e-15 2.5071082e-12 3.0665774e-14 ... 2.8126451e-13 8.4279914e-13
 3.2447051e-12]",0
